"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WT01","WT03","WT04","WT11"
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-11-04",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-11-05",,,"0.68",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-11-06",,,"0.02",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2017-11-21",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2018-05-29",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2018-05-30",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2018-05-31",,,"0.02",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2018-06-01",,,"1.30",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2018-06-02",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2018-06-03",,,"0.04",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2018-06-04",,,"1.84",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2018-06-05",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2018-06-06",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2018-06-07",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2018-06-08",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2018-06-09",,,"0.15",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2018-06-10",,,"0.10",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2018-06-11",,,"0.51",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2018-06-12",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2018-06-13",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2018-06-14",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2018-06-15",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2018-06-16",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2018-06-17",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2018-06-18",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2018-06-19",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2018-06-22",,,"0.05",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2018-06-23",,,"0.47",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2018-06-24",,,"0.14",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2018-06-25",,,"0.13",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2018-06-26",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2018-06-27",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2018-06-28",,,"0.14",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2018-06-29",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2018-07-03",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2018-07-04",,,"0.03",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2018-07-05",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2018-07-06",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2018-07-07",,,"0.02",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2018-07-08",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2018-07-09",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2018-07-10",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2018-07-11",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2018-07-12",,,"0.00",,,,,,,,,
